STAID,LAT_GAGE,LNG_GAGE,HYDRO_DISTURB_INDX,BAS_COMPACTNESS,DRAIN_SQKM,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_DOM_PCT,SNOW_PCT_PRECIP,STREAMS_KM_SQ_KM,STRAHLER_MAX,MAINSTEM_SINUOUSITY,BFI_AVE,CONTACT,PCT_1ST_ORDER,PCT_2ND_ORDER,PCT_3RD_ORDER,PCT_4TH_ORDER,PCT_5TH_ORDER,PCT_6TH_ORDER_OR_MORE,DDENS_2009,STOR_NOR_2009,NPDES_MAJ_DENS,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,NITR_APP_KG_SQKM,PHOS_APP_KG_SQKM,PESTAPP_KG_SQKM,ECO2_BAS_DOM,ECO3_BAS_DOM,NUTR_BAS_DOM,HLR_BAS_DOM_100M,PNV_BAS_DOM,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,CLAYAVE,SILTAVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,SLOPE_PCT,ASPECT_DEGREES,Group
2041650,37.225151,-77.475263,20,1.05,3482.5,3,46.4,8.2,0.88,6,1.86,45.0,1371.5,61.39,17.16,10.1,4.75,4.04,1.87,3.1,18.18,0.03,3.82,65.4,18.1,1.05,4.22,0.06,1834.3,535.8,11.0,8.3,45,9,7,55,0.15,1.88,1.38,0.43,5.05,56.62,36.02,32.92,0.29,189.22,119.2,3.6,90.2,Undeveloped
2042500,37.436258,-77.060803,17,0.83,646.9,1,57.1,7.4,0.95,6,1.39,46.3,1333.2,59.19,16.52,10.4,4.34,2.41,4.29,2.63,2.51,0.0,34.58,35.73,9.02,0.43,15.25,0.03,1499.4,395.8,24.4,8.3,65,9,2,55,0.12,4.53,1.44,0.56,4.39,59.83,20.53,28.78,0.22,188.93,48.1,1.8,99.2,Urban
2085000,36.071111,-79.095556,22,1.61,170.9,5,86.4,5.0,0.79,4,1.51,31.4,353.7,61.48,20.54,14.7,3.29,0.0,0.0,6.44,63.41,0.0,11.82,56.33,25.01,1.25,0.7,0.01,2685.8,668.9,75.4,8.3,45,9,11,55,0.14,1.37,1.4,0.44,5.02,57.37,36.23,39.04,0.33,218.3,200.0,2.9,133.9,Other
2085500,36.182778,-78.878889,17,1.7,384.7,5,52.5,5.3,0.9,4,1.85,30.9,285.7,55.58,19.29,17.21,7.7,0.0,0.0,1.04,0.63,0.0,6.28,56.51,28.77,0.36,0.73,0.02,2805.9,666.3,178.9,8.3,45,9,7,55,0.14,1.36,1.4,0.45,4.98,57.61,35.74,38.73,0.32,212.38,181.7,2.9,132.1,Other
2087580,35.718889,-78.752222,20,3.03,53.9,1,100.0,3.3,1.01,3,1.25,26.1,947.7,65.71,27.8,6.49,0.0,0.0,0.0,16.69,19.5,0.0,75.34,18.25,2.29,1.59,0.65,0.0,1935.4,362.4,79.3,8.3,45,9,7,55,0.14,1.46,1.4,0.45,5.26,57.74,38.25,34.01,0.29,239.96,134.6,3.3,155.2,Urban
2089500,35.257778,-77.585556,25,1.22,7021.5,1,60.6,3.5,0.88,7,1.97,34.0,475.0,58.44,17.76,10.11,6.05,2.14,4.66,5.6,36.39,0.2,17.69,33.96,27.53,1.71,9.11,0.61,4571.2,1255.0,228.4,8.3,45,9,7,55,0.13,2.78,1.44,0.48,4.15,58.43,30.31,28.55,0.24,239.08,88.1,2.1,141.4,Other
2091500,35.428889,-77.5825,16,1.57,1908.6,1,85.1,2.8,0.82,5,1.82,39.4,423.1,59.35,16.74,10.03,8.21,4.6,0.0,1.62,2.38,0.1,9.55,21.34,43.89,1.24,15.01,0.96,8114.5,2339.6,427.0,8.3,65,9,2,55,0.12,4.33,1.48,0.51,3.63,59.54,22.78,20.87,0.18,242.72,45.4,1.0,109.4,Other
2096846,35.987222,-79.206111,10,2.5,19.6,5,100.0,5.0,0.92,3,1.21,30.5,528.6,62.31,28.36,9.33,0.0,0.0,0.0,0.0,0.0,0.0,4.47,72.94,17.09,0.17,0.09,0.0,1747.5,444.6,37.2,8.3,45,9,11,55,0.14,1.38,1.4,0.48,4.82,57.3,35.19,41.16,0.34,222.22,197.4,3.5,212.3,Undeveloped
2097464,35.923611,-79.115,13,1.92,21.5,5,67.4,5.0,0.78,3,1.15,29.9,710.2,45.22,33.15,21.63,0.0,0.0,0.0,4.66,2.36,0.0,5.26,70.13,19.37,0.44,0.21,0.0,1930.3,486.1,18.4,8.3,45,9,11,55,0.14,1.37,1.4,0.45,4.97,57.06,36.05,40.46,0.34,224.91,175.3,3.4,138.6,Other
2116500,35.856667,-80.386944,24,0.94,5902.2,1,65.2,7.7,0.96,6,2.06,60.5,136.9,61.54,18.43,10.58,4.79,1.88,2.5,4.37,13.65,0.17,13.16,58.58,21.99,0.57,0.22,0.01,3427.8,909.5,89.9,8.3,45,9,16,55,0.14,1.84,1.39,0.47,5.52,52.69,29.36,34.75,0.25,190.6,395.2,9.5,153.1,Other
