staid,00010_kge,00010_r2,00010_pbias,00095_kge,00095_r2,00095_pbias,00300_kge,00300_r2,00300_pbias,00400_kge,00400_r2,00400_pbias,00405_kge,00405_r2,00405_pbias,00600_kge,00600_r2,00600_pbias,00605_kge,00605_r2,00605_pbias,00618_kge,00618_r2,00618_pbias,00660_kge,00660_r2,00660_pbias,00665_kge,00665_r2,00665_pbias,00681_kge,00681_r2,00681_pbias,00915_kge,00915_r2,00915_pbias,00925_kge,00925_r2,00925_pbias,00930_kge,00930_r2,00930_pbias,00935_kge,00935_r2,00935_pbias,00940_kge,00940_r2,00940_pbias,00945_kge,00945_r2,00945_pbias,00955_kge,00955_r2,00955_pbias,71846_kge,71846_r2,71846_pbias,80154_kge,80154_r2,80154_pbias
01534000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01540500,0.91872334,0.917,0.969,,,,,,,0.33197027,0.139,0.521,,,,0.29467684,0.313,1.737,0.057888765,0.131,8.933,,,,-0.049796846,0.05,6.638,0.25376126,0.48,19.438,,,,,,,,,,,,,,,,,,,,,,,,,0.30330107,0.217,6.5,0.15235238,0.451,35.5
01545600,0.8915953,0.799,2.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5287357,0.282,0.927,0.43340468,0.198,1.369,0.30447605,0.217,0.578,0.32192174,0.12,2.732,0.19667134,0.169,3.344,0.4949682,0.255,3.041,0.8625251,0.774,0.306,,,,,,
01549700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01553500,0.9212477,0.9,1.187,,,,,,,0.2085412,0.057,0.76,,,,0.12011517,0.142,6.083,-0.095119245,0.042,13.188,,,,0.2557507,0.133,25.654,0.19822745,0.169,7.298,,,,,,,,,,,,,,,,,,,,,,,,,-0.06626947,0.019,8.118,0.50219077,0.458,5.004
01558000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01567000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01576754,,,,,,,,,,-0.24835336,0.061,1.74,,,,0.13586846,0.09,5.768,0.44700947,0.349,0.452,,,,0.49725822,0.361,3.608,0.24565239,0.13,5.984,,,,,,,,,,,,,,,,,,,,,,,,,0.56810826,0.486,0.036,0.13459805,0.204,20.202
01581752,0.85258806,0.793,9.723,,,,,,,,,,,,,,,,,,,0.49917713,0.505,8.65,0.4143405,0.19,3.149,0.31772766,0.329,11.551,,,,,,,,,,,,,,,,,,,,,,,,,0.2743913,0.093,14.017,,,
158397967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01591000,0.9182839,0.88,2.454,-0.21933246,0.009,1.366,,,,0.08342055,0.017,1.715,,,,0.14938384,0.162,1.599,0.2406197,0.318,17.116,0.32347775,0.24,6.724,0.28516743,0.387,13.373,0.1498134,0.203,25.738,,,,,,,,,,,,,,,,,,,,,,0.16228041,0.054,1.447,0.015962176,0.052,8.787,0.35645476,0.286,11.393
01594000,,,,,,,,,,,,,,,,0.20072043,0.226,8.191,0.32471114,0.397,14.332,0.4759952,0.671,5.949,0.6994419,0.666,11.194,0.2624811,0.359,20.533,,,,,,,,,,,,,,,,,,,,,,0.4352822,0.577,0.55,0.4936122,0.535,17.103,0.15218699,0.269,27.328
01594440,0.9042469,0.884,3.037,0.3853465,0.225,10.958,0.86513805,0.76,0.963,-0.21349087,0.041,1.275,-0.006588614,0.089,19.398,0.8067274,0.706,6.444,0.21018131,0.153,1.085,0.75332373,0.623,11.9,0.8060122,0.695,6.731,0.4261991,0.306,1.219,0.5996517,0.551,1.371,,,,,,,,,,,,,,,,,,,0.36507758,0.33,4.834,0.607814,0.704,6.436,0.2673346,0.224,4.865
01594526,0.9213546,0.9,2.643,0.0036202255,0.067,2.289,,,,-0.64438415,0.039,2.895,,,,0.6444556,0.459,9.899,0.57293457,0.42,17.599,0.59751534,0.481,2.483,0.3462575,0.324,4.67,0.5131343,0.387,21.571,0.730244,0.537,3.111,,,,,,,,,,,,,,,,,,,0.5138591,0.506,4.458,0.30163506,0.321,2.196,0.32149485,0.289,12.909
01604500,0.8846541,0.865,1.457,0.4105268,0.201,0.012,0.76566637,0.63,2.512,-1.1752839,0.019,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01608500,0.9147011,0.898,1.07,0.711654,0.66,1.74,,,,-0.13690467,0.016,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01611500,0.91758645,0.922,3.125,0.59195065,0.52,2.611,0.8053425,0.66,0.191,-0.072716095,0.005,0.223,,,,,,,0.34858263,0.47,7.662,0.8083623,0.746,9.869,0.46199638,0.302,0.675,0.20853734,0.397,23.201,,,,,,,,,,,,,,,,,,,,,,,,,0.26743212,0.271,5.478,0.3854817,0.462,5.28
01614500,,,,0.7093228,0.801,0.809,,,,,,,,,,0.37431088,0.402,1.323,0.22753377,0.205,0.813,0.4031379,0.445,1.484,0.62314725,0.502,4.076,0.20904687,0.165,0.342,,,,,,,,,,,,,,,,,,,,,,,,,0.10062514,0.166,4.084,0.25937772,0.276,4.057
01616500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01621050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01631000,0.9467109,0.9,0.307,0.38654217,0.32,2.972,0.5735501,0.356,1.396,0.032881204,0.009,0.216,,,,0.5171862,0.499,0.419,,,,,,,0.68173444,0.508,13.653,0.3820408,0.381,2.518,,,,,,,,,,,,,,,,,,,,,,,,,0.48232934,0.498,4.514,0.34089953,0.369,10.552
01634000,0.9239746,0.89,0.796,0.5631017,0.626,3.136,0.62139577,0.501,2.077,-0.08597683,0.006,0.046,,,,0.50517666,0.365,3.079,,,,,,,0.69823766,0.686,1.68,0.33681148,0.334,5.148,,,,,,,,,,,,,,,,,,,,,,,,,0.32449725,0.304,8.221,0.28151494,0.308,8.71
01645704,,,,,,,,,,,,,,,,0.33888978,0.209,4.416,0.46052256,0.282,20.448,,,,-0.22580133,0.004,9.67,0.44869938,0.302,21.497,,,,,,,,,,,,,,,,,,,,,,,,,-0.07014533,0.034,23.13,0.3845995,0.27,32.068
01645762,,,,,,,,,,,,,,,,0.3244448,0.161,3.878,0.52566344,0.437,8.979,,,,0.1777516,0.153,31.758,0.47458568,0.385,24.0,,,,,,,,,,,,,,,,,,,,,,,,,0.09254046,0.116,19.375,0.6084886,0.56,27.424
