staid,00010_kge,00010_r2,00010_pbias,00095_kge,00095_r2,00095_pbias,00300_kge,00300_r2,00300_pbias,00400_kge,00400_r2,00400_pbias,00405_kge,00405_r2,00405_pbias,00600_kge,00600_r2,00600_pbias,00605_kge,00605_r2,00605_pbias,00618_kge,00618_r2,00618_pbias,00660_kge,00660_r2,00660_pbias,00665_kge,00665_r2,00665_pbias,00681_kge,00681_r2,00681_pbias,00915_kge,00915_r2,00915_pbias,00925_kge,00925_r2,00925_pbias,00930_kge,00930_r2,00930_pbias,00935_kge,00935_r2,00935_pbias,00940_kge,00940_r2,00940_pbias,00945_kge,00945_r2,00945_pbias,00955_kge,00955_r2,00955_pbias,71846_kge,71846_r2,71846_pbias,80154_kge,80154_r2,80154_pbias
01481000,0.67195946,0.862,30.775,0.27298838,0.255,44.852,0.52663124,0.438,29.592,-1.6816661,0.002,27.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01491000,0.61169416,0.767,36.793,-0.23056076,0.104,72.999,0.32138798,0.438,47.88,-2.389805,0.003,42.227,,,,0.008285619,0.045,45.398,,,,-0.10259854,0.106,79.522,0.4252241,0.565,12.593,0.32030922,0.498,39.597,0.41842315,0.363,21.184,,,,,,,,,,,,,,,,,,,-0.06437353,0.038,60.089,0.27197382,0.32,2.419,-0.035438154,0.159,75.813
01534000,0.6903074,0.865,28.374,-0.071772,0.0,32.082,0.41985878,0.351,34.358,-1.5023031,0.012,32.512,-0.25271854,0.0,22.301,0.26532033,0.41,37.126,,,,,,,0.092474125,0.066,23.104,-0.35334858,0.124,91.619,,,,,,,,,,,,,,,,0.28720227,0.22,47.491,,,,,,,-0.49536675,0.068,72.569,,,
01540500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01545600,0.66615415,0.551,20.224,,,,,,,,,,,,,-0.18616815,0.072,80.935,,,,-0.08813892,0.048,12.291,-19773.844,0.0,231.722,-0.01411109,0.055,7.326,0.36327872,0.252,37.298,-0.17474946,0.423,62.386,-0.026988026,0.349,51.143,0.24553783,0.497,62.331,0.2052342,0.368,51.179,0.18157817,0.428,60.473,-1.0362073,0.102,76.756,0.36171082,0.449,37.126,-1.6800671,0.0,80.768,,,
01549700,0.71435714,0.887,25.722,0.35732317,0.26,38.103,0.46293744,0.324,24.778,-2.4121947,0.001,19.396,-0.20736687,0.025,30.624,0.11029515,0.146,44.229,,,,,,,-0.68097967,0.03,106.584,-0.29890642,0.019,70.377,,,,,,,,,,,,,,,,0.064940386,0.046,32.158,,,,,,,-0.4291335,0.003,88.953,,,
01553500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01558000,0.81884146,0.803,10.741,0.09145083,0.066,46.217,0.317318,0.183,37.224,-1.3015839,0.274,10.129,-0.5897597,0.001,124.959,0.210108,0.218,56.711,,,,,,,-0.047765445,0.163,85.219,0.27051258,0.192,35.203,,,,,,,,,,,,,,,,-0.15749541,0.079,89.875,,,,,,,-0.48644668,0.061,79.405,,,
01567000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01576754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01581752,0.495049,0.786,47.674,-0.16018687,0.067,74.514,,,,,,,,,,-2.5544207,0.047,99.704,,,,-0.79632086,0.216,171.394,0.1501583,0.371,59.103,-0.5241895,0.335,138.291,,,,,,,,,,,,,,,,-1.5041561,0.004,202.382,,,,,,,-0.0077969795,0.123,49.055,,,
158397967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
