staid,00010_kge,00010_r2,00010_pbias,00095_kge,00095_r2,00095_pbias,00300_kge,00300_r2,00300_pbias,00400_kge,00400_r2,00400_pbias,00405_kge,00405_r2,00405_pbias,00600_kge,00600_r2,00600_pbias,00605_kge,00605_r2,00605_pbias,00618_kge,00618_r2,00618_pbias,00660_kge,00660_r2,00660_pbias,00665_kge,00665_r2,00665_pbias,00681_kge,00681_r2,00681_pbias,00915_kge,00915_r2,00915_pbias,00925_kge,00925_r2,00925_pbias,00930_kge,00930_r2,00930_pbias,00935_kge,00935_r2,00935_pbias,00940_kge,00940_r2,00940_pbias,00945_kge,00945_r2,00945_pbias,00955_kge,00955_r2,00955_pbias,71846_kge,71846_r2,71846_pbias,80154_kge,80154_r2,80154_pbias
02041650,0.94518954,0.898,1.622,0.36990133,0.185,0.357,0.8301621,0.743,2.691,0.044632003,0.007,2.32,,,,0.21278453,0.17,1.793,0.21031618,0.147,5.001,0.4521849,0.448,5.535,0.21849224,0.243,8.601,0.3417013,0.207,1.082,,,,,,,,,,,,,,,,,,,,,,0.07762016,0.047,5.459,0.5184837,0.493,5.503,0.267091,0.163,11.522
02042500,0.8700739,0.794,3.656,0.11196543,0.104,11.36,0.63848037,0.517,2.568,-0.29155535,0.007,0.83,,,,0.35723633,0.134,5.783,,,,,,,,,,0.30764663,0.186,1.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3374962,0.207,6.078
02085000,0.8412079,0.717,3.364,-0.41636506,0.172,2.652,0.6551934,0.581,3.871,-2.3167648,0.0,2.826,-0.21027154,0.003,1.723,,,,,,,,,,0.054070167,0.067,17.692,,,,,,,-0.19173741,0.036,5.131,-0.2983262,0.088,4.672,-0.45397276,0.149,2.615,0.2630866,0.07,2.233,-0.21172445,0.032,4.982,-0.43380207,0.141,2.702,-0.14013727,0.013,7.837,0.057091117,0.112,19.539,,,
02085500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02087580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02089500,0.9070696,0.903,0.911,0.52074957,0.599,0.07,0.7371147,0.623,1.962,-0.06891693,0.001,2.177,-0.03597708,0.079,15.745,0.28255817,0.09,0.64,0.14414607,0.092,4.979,0.4222274,0.265,0.969,0.6550316,0.732,1.873,0.64669114,0.642,9.472,,,,,,,,,,,,,,,,0.46832836,0.615,2.842,0.5197217,0.519,4.01,,,,0.28818592,0.273,0.805,-0.004105142,0.079,2.627
02091500,0.9204134,0.868,2.459,0.32080826,0.127,4.703,0.73381823,0.561,1.231,0.1287843,0.023,1.804,0.20422655,0.131,7.202,0.6621799,0.443,0.398,0.52363175,0.426,5.676,0.32747635,0.246,6.681,0.65873575,0.819,4.571,0.64788866,0.846,0.895,,,,0.1868016,0.108,3.49,0.33341488,0.19,4.242,0.30532652,0.165,2.676,0.54802084,0.319,0.57,0.15923226,0.043,4.182,0.28425407,0.17,5.602,0.73244363,0.61,0.279,0.39817938,0.285,21.483,-0.12853952,0.059,13.093
02096846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02097464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02116500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02174250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
